county_name,fips,latitude,longitude,year,total_pop,median_income,median_home_value,price_to_income,median_gross_rent,rent_burden_pct,severe_rent_burden_pct,total_housing_units,housing_units_per_1k,vacancy_rate_pct,homeownership_pct,homeownership_white_nh_pct,homeownership_black_pct,homeownership_hispanic_pct,poverty_rate_pct,pct_white_nh,pct_black_nh,pct_asian_nh,pct_hispanic,pct_aian_nh
Cumberland,17035,39.27337377033135,-88.24019487534677,2018,10865,53376,100700,1.89,567,20.2,7.3,4873,448.5,11.3,79.2,79.4,NA,61.3,14,96.7,0.1,0.3,1,0.2
Cumberland,17035,39.27337377033135,-88.24019487534677,2020,10787,59271,106300,1.79,589,18.7,4.8,4879,452.3,13.3,81.2,81.7,NA,0,11.4,96.5,0.1,0.2,1,0.1
Cumberland,17035,39.27337377033135,-88.24019487534677,2022,10447,71274,116000,1.63,683,19.9,9.1,4734,453.1,12.5,81.1,82,NA,0,9.7,96,0.1,0.1,1.7,0
De Witt,17039,40.17464053399948,-88.90413061338633,2014,16461,53129,107000,2.01,580,34.7,17.3,7519,456.8,10.3,78.5,79.4,NA,41.9,12.7,95.5,0.5,0.1,2.2,0
De Witt,17039,40.17464053399948,-88.90413061338633,2016,16322,53510,99500,1.86,573,29.3,11.9,7513,460.3,10.5,78.5,79.5,NA,36.1,12,95.1,0.3,0,2.4,0
De Witt,17039,40.17464053399948,-88.90413061338633,2018,16042,55591,100900,1.82,587,36.8,10.2,7569,471.8,12,79.4,80.3,0,44.8,11,94.7,0.5,0,2.7,0
De Witt,17039,40.17464053399948,-88.90413061338633,2020,15764,57727,103600,1.79,686,39.9,8,7578,480.7,11.2,76.2,77,14.3,41.2,10.3,94.4,1,0,2.8,0
De Witt,17039,40.17464053399948,-88.90413061338633,2022,15535,61823,121100,1.96,801,37.7,11,7333,472,9.4,76.4,77.3,12.5,79.3,10.2,94.2,0.8,0.2,3,0.1
DeKalb,17037,41.893226506570215,-88.77032468710071,2014,104919,53771,169100,3.14,846,55,32.4,41034,391.1,8.9,59.6,64.6,11.5,39.9,18.8,78.7,6.4,2.4,10.5,0.1
DeKalb,17037,41.893226506570215,-88.77032468710071,2016,104458,56076,166000,2.96,877,51.2,28.5,41017,392.7,8.9,57.5,62.4,11.4,42.5,18.2,78,6.7,2.5,10.7,0
DeKalb,17037,41.893226506570215,-88.77032468710071,2018,104200,61086,169800,2.78,914,48,24.8,41181,395.2,8.4,57,62.3,9.1,47.1,16.5,77.2,7.4,2.5,11,0
DeKalb,17037,41.893226506570215,-88.77032468710071,2020,104588,62353,182300,2.92,917,46.8,24.9,41245,394.4,6.4,57.9,63.3,17.5,48.3,16,76.1,7.2,2.1,11.4,0
DeKalb,17037,41.893226506570215,-88.77032468710071,2022,100686,68617,218600,3.19,1024,49.5,26.7,41399,411.2,5.5,60,66.4,18.1,52.1,15.4,74.4,7.5,2.4,12.3,0.1
Douglas,17041,39.769477891328386,-88.21737965229813,2014,19867,51701,99100,1.92,677,36.4,20.2,8374,421.5,10,76.4,77.5,100,59.2,11.2,91.3,0.5,0.9,6.7,0.1
Douglas,17041,39.769477891328386,-88.21737965229813,2016,19770,52984,101700,1.92,658,31.4,15,8385,424.1,9.8,73.6,75,100,49,11.4,90.7,0.3,0.7,7.1,0.3
Douglas,17041,39.769477891328386,-88.21737965229813,2018,19714,54218,106500,1.96,688,34.9,15.9,8442,428.2,9.8,71.7,73.5,100,44.7,11.2,90.4,0.5,0.7,7.2,0.3
